request_id,metadata
request-0,"{'law_index': '법_제1조', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1장 총칙_제1조_목적'}"
request-1,"{'law_index': '법_제7조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제2장 금융지주회사의 설립인가 등 제1절 인가절차_제7조제1항_인가의 신청 등'}"
request-2,"{'law_index': '법_제9조제3항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제2장 금융지주회사의 설립인가 등 제1절 인가절차_제9조제3항_인가 보완서류 및 자회사등 편입신고서류 등의 제출'}"
request-3,"{'law_index': '법_제10조제3항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제2장 금융지주회사의 설립인가 등 제2절 인가 세부기준_제10조제3항_설립인가요건등의 세부기준'}"
request-4,"{'law_index': '법_제19조의2제4항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제19조의2제4항_자회사등 사이의 업무위탁'}"
request-5,"{'law_index': '법_제19조의2제7항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제19조의2제7항_자회사등 사이의 업무위탁'}"
request-6,"{'law_index': '법_제22조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제22조제1항_적정담보확보기준 등'}"
request-7,"{'law_index': '법_제22조제2항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제22조제2항_적정담보확보기준 등'}"
request-8,"{'law_index': '법_제24조의3제2항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제24조의3제2항_권한의 위탁 보고'}"
request-9,"{'law_index': '법_제25조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조제1항_경영지도비율'}"
request-10,"{'law_index': '법_제25조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조제1항_경영지도비율'}"
request-11,"{'law_index': '법_제25조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조제1항_경영지도비율'}"
request-12,"{'law_index': '법_제25조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조제1항_경영지도비율'}"
request-13,"{'law_index': '법_제25조의2제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조의2제1항_금융체계상 중요한 은행지주회사 선정 등'}"
request-14,"{'law_index': '법_제25조의2제4항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조의2제4항_금융체계상 중요한 은행지주회사 선정 등'}"
request-15,"{'law_index': '법_제25조의2제7항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조의2제7항_금융체계상 중요한 은행지주회사 선정 등'}"
request-16,"{'law_index': '법_제25조의3제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조의3제1항_경기대응완충자본'}"
request-17,"{'law_index': '법_제25조의4제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조의4제1항_경영지도비율 등에 대한 특례'}"
request-18,"{'law_index': '법_제25조의4제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제25조의4제1항_경영지도비율 등에 대한 특례'}"
request-19,"{'law_index': '법_제26조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제26조제1항_자산건전성분류 등'}"
request-20,"{'law_index': '법_제26조제2항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제26조제2항_자산건전성분류 등'}"
request-21,"{'law_index': '법_제26조제6항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제26조제6항_자산건전성분류 등'}"
request-22,"{'law_index': '법_제31조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제1절 경영지도기준_제31조제1항_회계처리기준 및 결산보고'}"
request-23,"{'law_index': '법_제35조제2항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제2절 경영실태평가_제35조제2항_경영실태분석 및 평가'}"
request-24,"{'law_index': '법_제36조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제3절 적기시정조치_제36조제1항_경영개선권고'}"
request-25,"{'law_index': '법_제40조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제3절 적기시정조치_제40조제1항_긴급조치'}"
request-26,"{'law_index': '법_제41조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제5장 건전경영지도 제3절 적기시정조치_제41조제1항_경영개선계획 제출 및 평가 등'}"
request-27,"{'law_index': '법_제8조제9항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제2장 금융지주회사의 설립인가 등 제1절 인가절차_제8조제9항_인가'}"
request-28,"{'law_index': '법_제11조의4제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제2장 금융지주회사의 설립인가 등 제2절 인가 세부기준_제11조의4제1항_정관의 변경사항 중 경미한 사항등'}"
request-29,"{'law_index': '법_제12조제3항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제3장 금융지주회사의 소유제한 등 제1절 은행지주회사 주식보유_제12조제3항_은행지주회사 주식보유승인의 요건 등'}"
request-30,"{'law_index': '법_제13조제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제3장 금융지주회사의 소유제한 등 제1절 은행지주회사 주식보유_제13조제1항_비금융주력자의 전환계획승인의 세부요건 등'}"
request-31,"{'law_index': '법_제13조의7제1항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제3장 금융지주회사의 소유제한 등 제1절 은행지주회사 주식보유_제13조의7제1항_외국은행등에 대한 특례'}"
request-32,"{'law_index': '법_제13조의9제3항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제3장 금융지주회사의 소유제한 등 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제13조의9제3항_주요출자자에 대한 신용공여사실 보고 등＜개정 2007. 12. 13.＞'}"
request-33,"{'law_index': '법_제19조의2제2항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제19조의2제2항_자회사등 사이의 업무위탁'}"
request-34,"{'law_index': '법_제19조의2제3항', 'document_title': '금융지주회사감독규정\n', 'created_date': '시행 2024. 2. 1.', 'revise_info': '금융위원회고시 제2024-5호, 2024. 1. 18., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제4장 금융지주회사등의 운영 제2절 주요출자자에 대한 감독 <개정 2007. 12. 13>_제19조의2제3항_자회사등 사이의 업무위탁'}"
