request_id,metadata
request-0,"{'law_index': '규정_제1조', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제1조_약관의 적용'}"
request-1,"{'law_index': '규정_제1조', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제1조_약관의 적용'}"
request-2,"{'law_index': '규정_제2조제5항', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제2조제5항_위탁의 방법 등'}"
request-3,"{'law_index': '규정_제4조', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제4조_유가증권시장 주식워런트증권 등의 기본예탁금 납부'}"
request-4,"{'law_index': '규정_제5조제3항', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제5조제3항_수탁의 거부'}"
request-5,"{'law_index': '규정_제10조제1항', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제10조제1항_예탁증권의 집중예탁 등'}"
request-6,"{'law_index': '규정_제13조', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제13조_월간 매매내역 등의 통지'}"
request-7,"{'law_index': '규정_제23조제1항', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제23조제1항_대규모착오매매의 구제'}"
request-8,"{'law_index': '규정_제24조', 'document_title': '매매거래계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제24조_관계법규등 준수'}"
request-9,"{'law_index': '규정_제1조', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제1조_목적'}"
request-10,"{'law_index': '규정_제2조', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제2조_위원회의 구성'}"
request-11,"{'law_index': '규정_제8조의2제3항', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제8조의2제3항_자율규제자문위원회의 설치 및 구성'}"
request-12,"{'law_index': '규정_제8조의2제4항', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제8조의2제4항_자율규제자문위원회의 설치 및 구성'}"
request-13,"{'law_index': '규정_제8조의4제1항', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제8조의4제1항_상품분류점검위원회의 설치 및 구성'}"
request-14,"{'law_index': '규정_제8조의4제2항', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제8조의4제2항_상품분류점검위원회의 설치 및 구성'}"
request-15,"{'law_index': '규정_제8조의5제13항', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제8조의5제13항_점검위원회의 운영'}"
request-16,"{'law_index': '규정_제9조', 'document_title': '자율규제위원회 운영 및 제재에 관한 규정', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제9조_제재의 사유'}"
request-17,"{'law_index': '규정_제1조', 'document_title': '파생상품계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제1조_약관의 적용'}"
request-18,"{'law_index': '규정_제2조제4항', 'document_title': '파생상품계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제2조제4항_설명의무 등'}"
request-19,"{'law_index': '규정_제2조제5항', 'document_title': '파생상품계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제2조제5항_설명의무 등'}"
request-20,"{'law_index': '규정_제2조제5항', 'document_title': '파생상품계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제2조제5항_설명의무 등'}"
request-21,"{'law_index': '규정_제5조제2항', 'document_title': '파생상품계좌설정약관', 'created_date': None, 'revise_info': None, 'source': '금융투자협회', 'reference': '규정__제5조제2항_위탁증거금의 예탁'}"
