request_id,metadata
request-0,"{'law_index': '시행령_제2조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제2조_용어의 정의'}"
request-1,"{'law_index': '시행령_제3조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제3조제1항_금융투자상품의 범위'}"
request-2,"{'law_index': '시행령_제3조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제3조제1항_금융투자상품의 범위'}"
request-3,"{'law_index': '시행령_제3조제2항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제3조제2항_금융투자상품의 범위'}"
request-4,"{'law_index': '시행령_제4조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제4조_기업어음증권의 요건'}"
request-5,"{'law_index': '시행령_제6조제4항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제6조제4항_집합투자의 적용배제'}"
request-6,"{'law_index': '시행령_제6조제4항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제6조제4항_집합투자의 적용배제'}"
request-7,"{'law_index': '시행령_제6조제4항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제6조제4항_집합투자의 적용배제'}"
request-8,"{'law_index': '시행령_제6조제4항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제6조제4항_집합투자의 적용배제'}"
request-9,"{'law_index': '시행령_제6조의2', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제6조의2_투자자문업의 투자대상자산'}"
request-10,"{'law_index': '시행령_제6조의3제3항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제6조의3제3항_전담중개업무의 범위 등'}"
request-11,"{'law_index': '시행령_제7조제2항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제7조제2항_금융투자업의 적용배제'}"
request-12,"{'law_index': '시행령_제7조제2항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제7조제2항_금융투자업의 적용배제'}"
request-13,"{'law_index': '시행령_제7조제3항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제7조제3항_금융투자업의 적용배제'}"
request-14,"{'law_index': '시행령_제7조제4항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행령 ( 약칭: 자본시장법 시행령 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '대통령령 제34840호, 2024. 8. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행령_제1편 총칙_제7조제4항_금융투자업의 적용배제'}"
