request_id,metadata
request-0,"{'law_index': '법_제3조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제3조제1항_금융투자상품'}"
request-1,"{'law_index': '법_제3조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제3조제1항_금융투자상품'}"
request-2,"{'law_index': '법_제6조제7항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제6조제7항_금융투자업'}"
request-3,"{'law_index': '법_제6조제10항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제6조제10항_금융투자업'}"
request-4,"{'law_index': '법_제8조제9항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제8조제9항_금융투자업자'}"
request-5,"{'law_index': '법_제8조의2제5항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제8조의2제5항_금융투자상품시장 등'}"
request-6,"{'law_index': '법_제9조제10항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제9조제10항_그 밖의 용어의 정의'}"
request-7,"{'law_index': '법_제9조제10항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제9조제10항_그 밖의 용어의 정의'}"
request-8,"{'law_index': '법_제9조제10항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제9조제10항_그 밖의 용어의 정의'}"
request-9,"{'law_index': '법_제9조제10항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제9조제10항_그 밖의 용어의 정의'}"
request-10,"{'law_index': '법_제9조제10항', 'document_title': '자본시장과 금융투자업에 관한 법률 ( 약칭: 자본시장법 )\n', 'created_date': '시행 2024. 8. 14.', 'revise_info': '법률 제20305호, 2024. 2. 13., 일부개정\n', 'source': '국가법령정보센터', 'reference': '법_제1편 총칙_제9조제10항_그 밖의 용어의 정의'}"
