request_id,metadata
request-0,"{'law_index': '시행규칙_제1조의2', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제1조의2_금융투자업의 적용배제'}"
request-1,"{'law_index': '시행규칙_제2조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제2조_인가심사기간에 넣지 않는 기간'}"
request-2,"{'law_index': '시행규칙_제2조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제2조_인가심사기간에 넣지 않는 기간'}"
request-3,"{'law_index': '시행규칙_제4조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제4조_등록검토기간에 넣지 않는 기간'}"
request-4,"{'law_index': '시행규칙_제5조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제5조제1항_재무건전성 유지'}"
request-5,"{'law_index': '시행규칙_제8조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제8조_주식소유 제한의 예외'}"
request-6,"{'law_index': '시행규칙_제9조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제9조제1항_자산배분명세 등에 관한 장부 및 서류 등'}"
request-7,"{'law_index': '시행규칙_제11조', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제11조_국내 연락책임자의 요건'}"
request-8,"{'law_index': '시행규칙_제11조의2', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제11조의2_등록검토기간에 넣지 않는 기간'}"
request-9,"{'law_index': '시행규칙_제12조제1항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제12조제1항_신고의 효력발생시기'}"
request-10,"{'law_index': '시행규칙_제12조제4항', 'document_title': '자본시장과 금융투자업에 관한 법률 시행규칙 ( 약칭: 자본시장법 시행규칙 )\n', 'created_date': '시행 2021. 12. 9.', 'revise_info': '총리령 제1756호, 2021. 12. 9., 일부개정\n', 'source': '국가법령정보센터', 'reference': '시행규칙__제12조제4항_신고의 효력발생시기'}"
